都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,USER_通し番号,USER_施設名称,USER_棟名,USER_建物用途,区,USER_住所,USER_Field9,USER_静岡県浜松市,経度,緯度,階数,3階×ｍ,収容人数(0.7*0.7)指数o.8,USER_避難場所,USER_面積___,USER_公共民間,USER_建物の構造,USER_建築年,USER_x,USER_y
221309,228,静岡県,浜松市,1,ST.ナイン,,集合住宅,中央区,坪井町876,中央区坪井町876,静岡県浜松市中央区坪井町876,137.6460645,34.6832554,3階,6ｍ,16人,3階通路,11.4,民間,RC,1988,15322689.81,4120919.696
221309,229,静岡県,浜松市,2,ユーアイハイツ,,集合住宅,中央区,坪井町531-1,中央区坪井町531-1,静岡県浜松市中央区坪井町531-1,137.6481128,34.68480778,3階,6ｍ,18人,3階通路,13,民間,RC,1987,15322917.83,4121129.85
221309,231,静岡県,浜松市,4,ハーベストⅦ,,集合住宅,中央区,高塚町4509-1,中央区高塚町4509-1,静岡県浜松市中央区高塚町4509-1,137.683998,34.68766945,5階,12ｍ,65人,3～5階通路,46,民間,RC,2007,15326912.55,4121517.26
221309,230,静岡県,浜松市,3,忠産ビル,,集合住宅,中央区,篠原町14171,中央区篠原町14171,静岡県浜松市中央区篠原町14171,137.671612,34.687217,5階,12ｍ,151人,3～5階通路、屋上,106,民間,RC,1995,15325533.74,4121456.007
221309,233,静岡県,浜松市,6,特別養護老人ホーム南風,,福祉施設,中央区,倉松町593,中央区倉松町593,静岡県浜松市中央区倉松町593,137.6969489,34.6758996,3階,6ｍ,"1,089人",3階バルコニー、屋上,765.4,民間,RC,2003,15328354.24,4119923.956
221309,234,静岡県,浜松市,7,グランドエクシブ浜名湖,,宿泊施設,中央区,村櫛町4620,中央区村櫛町4620,静岡県浜松市中央区村櫛町4620,137.604549,34.7228604,8階,21ｍ,"2,987人",3～8階客室廊下、3階:バックヤード・廊下・従業員食堂、3階屋上（喫煙所）、機械室,2100,民間,SRC,2004,15318068.33,4126282.469
221309,232,静岡県,浜松市,5,三方原病院B館,,病院,中央区,小沢渡町2195-2,中央区小沢渡町2195-2,静岡県浜松市中央区小沢渡町2195-2,137.6778423,34.6758185,4階,9ｍ,651人,3～4階多目的ホール、渡り廊下、会議室等,458,民間,RC,2000,15326227.3,4119912.978
221309,236,静岡県,浜松市,11,メゾン・アルタ,,集合住宅,中央区,都盛町77-1,中央区都盛町77-1,静岡県浜松市中央区都盛町77-1,137.756591,34.688455,3階,6ｍ,38人,3階通路,26.4,民間,RC,1998,15334993.56,4121623.609
221309,238,静岡県,浜松市,13,ケアハウス西島,,福祉施設,中央区,西島町103,中央区西島町103,静岡県浜松市中央区西島町103,137.7636346,34.6719551,5階,12ｍ,927人,3～5階談話ホール、屋上,652,民間,RC,1995,15335777.65,4119390.033
221309,237,静岡県,浜松市,12,CASA　MARCO,,集合住宅,中央区,遠州浜二丁目28-10,中央区遠州浜二丁目28-10,静岡県浜松市中央区遠州浜二丁目28-10,137.7681589,34.6554347,3階,6ｍ,34人,3階通路,24,民間,RC,1996,15336281.3,4117154.127
221309,239,静岡県,浜松市,14,特別養護老人ホーム西島寮,,福祉施設,中央区,西島町101,中央区西島町101,静岡県浜松市中央区西島町101,137.7641345,34.672094,3階,6ｍ,305人,3階通路,214.7,民間,RC,1987,15335833.3,4119408.834
