年齢区分,活動種別,5分(km),10分(km),15分(km)
20-29,歩行_快適,0.45,0.9,1.35
20-29,歩行_最大,0.57,1.14,1.71
20-29,走る,0.9,1.8,2.7
20-29,自転車,1.5,3.0,4.5
30-39,歩行_快適,0.43,0.87,1.3
30-39,歩行_最大,0.54,1.08,1.62
30-39,走る,0.84,1.68,2.52
30-39,自転車,1.44,2.88,4.32
40-49,歩行_快適,0.42,0.84,1.26
40-49,歩行_最大,0.51,1.02,1.53
40-49,走る,0.78,1.56,2.34
40-49,自転車,1.38,2.76,4.14
50-59,歩行_快適,0.41,0.81,1.22
50-59,歩行_最大,0.48,0.96,1.44
50-59,走る,0.72,1.44,2.16
50-59,自転車,1.32,2.64,3.96
60-69,歩行_快適,0.39,0.78,1.17
60-69,歩行_最大,0.45,0.9,1.35
60-69,走る,0.66,1.32,1.98
60-69,自転車,1.26,2.52,3.78
70-79,歩行_快適,0.36,0.72,1.08
70-79,歩行_最大,0.41,0.81,1.22
70-79,走る,0.54,1.08,1.62
70-79,自転車,1.14,2.28,3.42
80+,歩行_快適,0.33,0.66,0.99
80+,歩行_最大,0.36,0.72,1.08
80+,走る,0.45,0.9,1.35
80+,自転車,1.05,2.1,3.15
